rank,deck_type,teams,classified_teams_all_bands,usage_rate,usage_percent,representative_card_id,representative_card_name
1,Marnie Grimmsnarl,462,2359,0.19584569732937684,19.58,648,Marnie's Grimmsnarl ex
2,Alakazam,460,2359,0.1949978804578211,19.5,743,Alakazam
3,Mega Lucario,419,2359,0.17761763459092836,17.76,678,Mega Lucario ex
4,Crustle Wall,209,2359,0.08859686307757525,8.86,345,Crustle
5,Archaludon,186,2359,0.07884696905468419,7.88,190,Archaludon ex
6,Dragapult,135,2359,0.057227638830012716,5.72,121,Dragapult ex
7,Mega Froslass,63,2359,0.026706231454005934,2.67,861,Mega Froslass ex
8,Mega Starmie,56,2359,0.02373887240356083,2.37,1031,Mega Starmie ex
9,Teal Mask Ogerpon,56,2359,0.02373887240356083,2.37,96,Teal Mask Ogerpon ex
10,Cynthia Garchomp,45,2359,0.01907587961000424,1.91,381,Cynthia's Garchomp ex
11,Festival Lead,31,2359,0.01314116150911403,1.31,93,Dipplin
12,Team Rocket Mewtwo,30,2359,0.01271725307333616,1.27,431,Team Rocket's Mewtwo ex
13,Hop Trevenant,29,2359,0.012293344637558287,1.23,879,Hop's Trevenant
14,Great Tusk / Crustle,28,2359,0.011869436201780416,1.19,58,Great Tusk
15,Iono Bellibolt,28,2359,0.011869436201780416,1.19,269,Iono’s Bellibolt ex
16,Mega Abomasnow,22,2359,0.009325985587113183,0.93,723,Mega Abomasnow ex
17,Mega Lopunny,22,2359,0.009325985587113183,0.93,849,Mega Lopunny ex
18,Mega Kangaskhan,14,2359,0.005934718100890208,0.59,756,Mega Kangaskhan ex
19,Chandelure,8,2359,0.003391267486222976,0.34,98,Chandelure
20,Comfey,8,2359,0.003391267486222976,0.34,164,Comfey
21,Raging Bolt,7,2359,0.002967359050445104,0.3,63,Raging Bolt ex
22,Cornerstone Mask Ogerpon,6,2359,0.002543450614667232,0.25,117,Cornerstone Mask Ogerpon ex
23,N's Zoroark,5,2359,0.00211954217888936,0.21,293,N’s Zoroark ex
24,Ceruledge,4,2359,0.001695633743111488,0.17,320,Ceruledge ex
25,Cubchoo,4,2359,0.001695633743111488,0.17,506,Cubchoo
26,Ethan's Cyndaquil,3,2359,0.001271725307333616,0.13,352,Ethan's Cyndaquil
27,Mega Gardevoir,3,2359,0.001271725307333616,0.13,747,Mega Gardevoir ex
28,Team Rocket's Murkrow,3,2359,0.001271725307333616,0.13,463,Team Rocket's Murkrow
29,Eevee,2,2359,0.000847816871555744,0.08,43,Eevee
30,Other / Espeon ex,2,2359,0.000847816871555744,0.08,246,Espeon ex
31,Team Rocket's Honchkrow,2,2359,0.000847816871555744,0.08,891,Team Rocket's Honchkrow
32,Empoleon,1,2359,0.000423908435777872,0.04,835,Empoleon ex
33,Okidogi,1,2359,0.000423908435777872,0.04,116,Okidogi
34,Other / Erika's Vileplume ex,1,2359,0.000423908435777872,0.04,911,Erika's Vileplume ex
35,Other / Mega Venusaur ex,1,2359,0.000423908435777872,0.04,652,Mega Venusaur ex
36,Paldean Tauros,1,2359,0.000423908435777872,0.04,819,Paldean Tauros
37,Solrock,1,2359,0.000423908435777872,0.04,676,Solrock
38,Team Rocket's Arbok,1,2359,0.000423908435777872,0.04,449,Team Rocket's Arbok
